Component,Quantity Per PCB,References,Value,MPN1,MPN2,Footprint,Population
1,3,C6 C7 C8,100 nF,CC0805KRX7R7BB104,,C_0805_2012Metric,
2,1,C1,1 uF,C0805C105K4RACTU,,C_0805_2012Metric,
3,1,C5,4.7 uF,C2012X5R1H475K125AB,,C_0805_2012Metric,
4,4,C2 C3 C4 C9,10 uF,GRM21BC81C106ME15L,,C_0805_2012Metric,
5,2,D1 D2,5V,LSM0805543V,,LED_0805_2012Metric,
6,8,D10 D12 D14 D16 D18 D20 D22 D24,CH1,LTE-4206,,LED_D5.0mm,
7,8,D9 D11 D13 D15 D17 D19 D21 D23,CH1,APT2012F3C,,LED_0805_2012Metric,
8,5,D5 D6 D7 D8 D29,CH1,APT2012EC,,LED_0805_2012Metric,
9,3,D25 D26 D28,MBR120,MBR120VLSFT1G,,D_SOD-123F,
10,1,D3,STATUS,APT2012SECK,,LED_0805_2012Metric,
11,1,D27,TX,APT2012VBC/D,,LED_0805_2012Metric,
12,1,D4,USER,APT2012SYCK,,LED_0805_2012Metric,
13,1,D30,VBUS,APT2012ZGCK,,LED_0805_2012Metric,
14,1,J3,5 TO 6 VDC,163-179PH-EX,,BarrelJack_Horizontal,
15,1,J2,N/A,105017-0001,,USB_Micro-B_Molex-105017-0001,
16,5,Q1 Q2 Q3 Q4 Q7,2N7002,2N7002-7-F,,SOT-23,
17,2,Q5 Q6,MMSS8050,MMSS8050,,SOT-23,
18,4,R10 R12 R14 R16,27,RC0805FR-0727RL,,R_0805_2012Metric,
19,4,R9 R11 R13 R15,51,RC0805FR-0751RL,,R_0805_2012Metric,
20,1,R3,120,RT0805FRE07120RL,,R_0805_2012Metric,
21,7,R4 R5 R6 R7 R8 R20 R22,1K2,RT0805FRE072K7L,,R_0805_2012Metric,
22,1,R2,1K6,RT0805FRE071K6L,,R_0805_2012Metric,
23,1,R19,4K7,RT0805FRE074K7L,,R_0805_2012Metric,
24,1,R1,8K2,RT0805FRE078K2L,,R_0805_2012Metric,
25,6,R17 R18 R21 R23 R24 R25,10K,RC0805FR-0710KL,,R_0805_2012Metric,
26,2,SW1 SW2,RESET,PTS645VK582LFS,,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS,
27,1,U2,AP2112K-3.3,AP2112M-3.3TRG1,,SOT-23-5,
28,1,U1,ESP32-WROOM-32D,ESP32-WROOM-32D,,ESP32-WROOM-32,
29,1,U3,FT232RL,FT232RL,,SSOP-28_5.3x10.2mm_P0.65mm,
30,1,U4,TSOP382xx,TSOP38238,,Vishay_MINICAST-3Pin,
31,1,U5,TSOP382xx,TSOP38256,,Vishay_MINICAST-3Pin,
